drug,concentration,order,r2,rmsd,n
AMP,195.0,13,0.9999616794950397,0.008565694693363499,55296
AMP,781.0,1,0.3511732621680682,0.5694139371450243,55296
AMP,781.0,2,0.5246552482414584,0.4874717297799954,55296
AMP,781.0,3,0.5624677253537359,0.4678498470189269,55296
AMP,781.0,4,0.5972016830247829,0.4486585625614253,55296
AMP,781.0,5,0.6470230315099027,0.42000559820008004,55296
AMP,781.0,6,0.7222887477976746,0.372569244684287,55296
AMP,781.0,7,0.8129163365715013,0.3059473767667491,55296
AMP,781.0,8,0.8992361312049165,0.22497791554977126,55296
AMP,781.0,9,0.9585485270790193,0.14428632559619356,55296
AMP,781.0,10,0.9880109228879652,0.07754610886833123,55296
AMP,781.0,11,0.9974467018173548,0.038598274879355514,55296
AMP,781.0,12,0.9995043423691715,0.018413545041653503,55296
AMP,781.0,13,0.9999023005046277,0.011290286766001646,55296
AZT,0.44,1,0.42157132678554515,0.29910115793130443,55296
AZT,0.44,2,0.6036392526548362,0.24760042364042467,55296
AZT,0.44,3,0.7089109278617999,0.21214882781794497,55296
AZT,0.44,4,0.7666580270915011,0.19010136479409645,55296
AZT,0.44,5,0.8194243046002033,0.16716355049734627,55296
AZT,0.44,6,0.8716926377793225,0.14086680777338384,55296
AZT,0.44,7,0.9214386713956263,0.11034296015377648,55296
AZT,0.44,8,0.9601792134643238,0.07893373427778268,55296
AZT,0.44,9,0.9836569000145049,0.05030978418948887,55296
AZT,0.44,10,0.995127672774785,0.02798428110957327,55296
AZT,0.44,11,0.9987741986366998,0.014279667650737727,55296
AZT,0.44,12,0.9995485748537771,0.009316196050360435,55296
AZT,0.44,13,0.9999500127693305,0.0066073282599755714,55296
AZT,1.33,1,0.3491777914603862,0.33132765229947475,55296
AZT,1.33,2,0.5595164364048517,0.27255425850494985,55296
AZT,1.33,3,0.660136871951488,0.23942498952268831,55296
AZT,1.33,4,0.7357782305303986,0.21114491301974755,55296
AZT,1.33,5,0.789360805559568,0.188486403969622,55296
AZT,1.33,6,0.8487303407497764,0.15972404203601565,55296
AZT,1.33,7,0.9045099256355867,0.12707150201567763,55296
AZT,1.33,8,0.9509086716065889,0.09121700901623943,55296
AZT,1.33,9,0.9799278182471133,0.05823588266361238,55296
AZT,1.33,10,0.9941794651268634,0.03209607031762564,55296
AZT,1.33,11,0.998438810755094,0.016662194205167225,55296
AZT,1.33,12,0.9993530914378495,0.011273560456567647,55296
AZT,1.33,13,0.9999220846987751,0.006379063690484388,55296
AZT,4.0,1,0.2585726008194864,0.3621129233718107,55296
AZT,4.0,2,0.4783613222866521,0.3037291709398883,55296
AZT,4.0,3,0.5834285594748477,0.2713984399147005,55296
AZT,4.0,4,0.6580871525729413,0.2458703735168131,55296
AZT,4.0,5,0.7260927974032437,0.2200604992439221,55296
AZT,4.0,6,0.7963766577780532,0.18973734654865604,55296
AZT,4.0,7,0.8691056322077826,0.15236747603202017,55296
AZT,4.0,8,0.9315649176909103,0.11006294918681354,55296
AZT,4.0,9,0.9709788647592054,0.07174924597517103,55296
AZT,4.0,10,0.9906866037948753,0.041126087822383466,55296
AZT,4.0,11,0.9971264525113512,0.022558386127774607,55296
AZT,4.0,12,0.9988209074000816,0.014470540349741216,55296
AZT,4.0,13,0.9998225128767301,0.006044112095198979,55296
AZT,12.0,1,0.16861559123976125,0.3782401569804334,55296
AZT,12.0,2,0.36682181153493415,0.33009246911477547,55296
AZT,12.0,3,0.4882707612101613,0.29676885604241476,55296
AZT,12.0,4,0.5601096725501485,0.2751370469948342,55296
AZT,12.0,5,0.6403470605523407,0.24878542162080505,55296
AZT,12.0,6,0.7301476536848064,0.21547109129895184,55296
AZT,12.0,7,0.8250348299982743,0.17365295942142933,55296
AZT,12.0,8,0.9076334639797746,0.12609944741280188,55296
AZT,12.0,9,0.9613172154272099,0.08168983572417556,55296
AZT,12.0,10,0.9886771936607148,0.04422670723073662,55296
AZT,12.0,11,0.9962597197781038,0.025414112838593256,55296
AZT,12.0,12,0.9984637473367619,0.017672410928101852,55296
AZT,12.0,13,0.9996483988371312,0.008407357753144277,55296
AZT,36.0,1,0.10039362481525807,0.3621544618023698,55296
AZT,36.0,2,0.2500516165861833,0.33069167025827206,55296
AZT,36.0,3,0.3775515518470237,0.30126536789576885,55296
AZT,36.0,4,0.462710750408573,0.2798729625958025,55296
AZT,36.0,5,0.5451253432717471,0.257514453405846,55296
AZT,36.0,6,0.6540279598846965,0.22459753916086733,55296
AZT,36.0,7,0.7745656545059042,0.18131816821967364,55296
AZT,36.0,8,0.88077798485808,0.13182703899519213,55296
AZT,36.0,9,0.9483627167843341,0.08709389707064233,55296
AZT,36.0,10,0.9850104602597922,0.04678410037910669,55296
AZT,36.0,11,0.9958291635934133,0.024735837553446532,55296
AZT,36.0,12,0.9982617239633896,0.016872058396181878,55296
AZT,36.0,13,0.9995177469987679,0.0089152584660613,55296
AZT,108.0,1,0.040096783177194006,0.26045914364090583,55296
AZT,108.0,2,0.1275786139426273,0.24833011207074232,55296
AZT,108.0,3,0.2516976179091725,0.22997902346123786,55296
AZT,108.0,4,0.37497213021409265,0.2102068225881761,55296
AZT,108.0,5,0.47964686621038854,0.19178086588616158,55296
AZT,108.0,6,0.6003406910031561,0.16809186687051506,55296
AZT,108.0,7,0.7416921456723201,0.13512472681457913,55296
AZT,108.0,8,0.8619925322939991,0.09900573094719,55296
AZT,108.0,9,0.942133242681828,0.06405519863864059,55296
AZT,108.0,10,0.9828273701352468,0.03494175759254581,55296
AZT,108.0,11,0.992979147218434,0.022322659590775975,55296
AZT,108.0,12,0.9963704103098155,0.017074047367471642,55296
AZT,108.0,13,0.9992458023771167,0.008130592093365172,55296
AZT,324.0,1,0.06285489414357683,0.15365617658046923,55296
AZT,324.0,2,0.09934892095956514,0.15065360177205184,55296
AZT,324.0,3,0.15060661354174026,0.14627830096276334,55296
AZT,324.0,4,0.24547327223149987,0.13786540226622937,55296
AZT,324.0,5,0.3755176322815071,0.12545394888187092,55296
AZT,324.0,6,0.5321519994797739,0.10857839761441689,55296
AZT,324.0,7,0.698689230779625,0.0871498207190594,55296
AZT,324.0,8,0.8397087817142694,0.06356474105022485,55296
AZT,324.0,9,0.9341127949406461,0.040917515952207065,55296
AZT,324.0,10,0.9788777516438179,0.023172152653248644,55296
AZT,324.0,11,0.9926937837305378,0.014394671130283013,55296
AZT,324.0,12,0.9949342533259681,0.012073481861939505,55296
AZT,324.0,13,0.9993176467498049,0.005618322933347594,55296
